人卫官方资讯发布平台	教材索引
氧合血红蛋白解离曲线	教材索引
胺前体摄取和脱羧细胞	教材索引
钠-葡萄糖同向转运体	人工补充
中枢吸气活动发生器	教材索引
乙酰胆碱敏感神经元	教材索引
多肽或蛋白质类激素	教材索引
循环系统平均充盈压	教材索引
肾素血管紧张素系统	人工补充
葡萄糖的最大转运率	教材索引
适应性细胞保护作用	教材索引
食物的特殊动力作用	教材索引
二价金属转运体1	教材索引
二氧化碳解离曲线	人工补充
促生长激素释放素	教材索引
促甲状腺激素受体	教材索引
兴奋性突触后电位	人工补充
凝血酶原酶复合物	教材索引
前庭自主神经反应	教材索引
单核吞噬细胞系统	教材索引
尿液的浓缩和稀释	教材索引
心肌异长自身调节	教材索引
抑制性突触后电位	人工补充
无溶质水重吸收量	教材索引
氨基甲酰血红蛋白	教材索引
特异神经能量定律	教材索引
神经元型烟碱受体	教材索引
纤维蛋白溶解酶原	教材索引
肺泡表面活性物质	人工补充
肾上腺素能神经元	教材索引
葡萄糖重吸收极限	人工补充
蛋白酶活化受体2	教材索引
非特异性投射系统	教材索引
非突触性化学传递	教材索引
黏液碳酸氢盐屏障	人工补充
下丘脑促垂体区	教材索引
不完全强直收缩	教材索引
中枢化学感受器	教材索引
中枢温度感受器	教材索引
互感性对光反射	教材索引
交感缩血管紧张	教材索引
促红细胞生成素	人工补充
兴奋-收缩耦联	人工补充
内源性凝血途径	教材索引
再生障碍性贫血	教材索引
副交感神经系统	教材索引
化学感受性反射	教材索引
单个单位平滑肌	教材索引
压力感受性反射	教材索引
原发性主动转运	教材索引
受体阳离子通道	教材索引
呼吸相关神经元	教材索引
外周化学感受器	教材索引
外周温度感受器	教材索引
外源性凝血途径	教材索引
多个单位平滑肌	教材索引
容量感受性反射	教材索引
小脑性共济失调	教材索引
局部回路神经元	教材索引
局部神经元回路	教材索引
心交感传入反射	教材索引
情绪的生理反应	教材索引
无髓鞘神经纤维	教材索引
最大随意通气量	教材索引
有髓鞘神经纤维	教材索引
本体感受性反射	教材索引
正性变传导作用	教材索引
特异性投射系统	教材索引
甲状腺功能亢进	人工补充
甲状腺功能减退	人工补充
磷酸化级联反应	教材索引
神经元网络学说	教材索引
离子通道型受体	教材索引
红细胞渗透脆性	教材索引
纤溶酶原激活物	教材索引
经载体易化扩散	教材索引
经通道易化扩散	教材索引
继发性主动转运	教材索引
肌肉型烟碱受体	教材索引
肺表面活性物质	教材索引
肾上腺素能受体	教材索引
肾上腺素能纤维	教材索引
肾上腺髓质系统	教材索引
肾内尿素再循环	教材索引
自主性体温调节	教材索引
血浆晶体渗透压	人工补充
血浆胶体渗透压	人工补充
行为性体温调节	教材索引
酪氨酸激酶受体	人工补充
阻塞性通气不足	教材索引
限制性通气不足	教材索引
鸟苷酸结合蛋白	教材索引
上行抑制系统	教材索引
中枢神经系统	教材索引
交叉配血试验	教材索引
交感神经系统	教材索引
亨廷顿舞蹈症	教材索引
优势传导通路	教材索引
传入侧支抑制	教材索引
传导性失语症	教材索引
伤害性感受器	教材索引
位置性眼震颤	教材索引
体液控制系统	教材索引
促代谢型受体	教材索引
促离子型受体	教材索引
先天性巨结肠	教材索引
初级运动皮层	教材索引
功能性合胞体	教材索引
动脉粥样硬化	人工补充
化学门控通道	教材索引
去甲肾上腺素	人工补充
受体介导入胞	教材索引
吸气切断机制	教材索引
周围神经系统	教材索引
嗜碱性粒细胞	教材索引
嗜酸性粒细胞	教材索引
基因表达学说	教材索引
多形核白细胞	教材索引
多觉型感受器	教材索引
完全强直收缩	教材索引
对侧伸肌反射	教材索引
少突胶质细胞	教材索引
尾促皮质素3	教材索引
巨幼细胞贫血	教材索引
平均诱发电位	教材索引
异长自身调节	人工补充
张力关系曲线	教材索引
心室功能曲线	教材索引
心肌收缩能力	教材索引
心肌等长调节	教材索引
感受器的适应	人工补充
星形胶质细胞	教材索引
期自动去极化	教材索引
机械门控通道	教材索引
次级运动皮层	教材索引
正性变力作用	教材索引
正性变时作用	教材索引
毒蕈碱样作用	教材索引
气味物质受体	教材索引
液态镶嵌模型	教材索引
渗透压感受器	教材索引
甲状旁腺激素	人工补充
电压门控通道	教材索引
皮层诱发电位	教材索引
瞳孔对光反射	教材索引
瞳孔调节反射	教材索引
碳酸氢盐屏障	教材索引
神经肌肉接头	教材索引
神经胶质细胞	教材索引
第二信使学说	教材索引
等长自身调节	人工补充
红细胞沉降率	人工补充
纤维蛋白溶解	教材索引
组织因子途径	教材索引
细胞保护作用	教材索引
肌丝滑行学说	教材索引
肾小球滤过率	人工补充
胆碱能神经元	教材索引
自主神经系统	教材索引
自发脑电活动	教材索引
血管紧张素原	教材索引
血管运动神经	教材索引
褐色脂肪组织	教材索引
起搏细胞学说	教材索引
超速驱动阻抑	教材索引
跨膜信号转导	教材索引
迷走神经背核	教材索引
逆行性遗忘症	教材索引
通气血流比值	人工补充
速度关系曲线	教材索引
配体门控通道	教材索引
释放抑制激素	教材索引
铁转运蛋白1	教材索引
闸门控制理论	教材索引
阿尔茨海默病	人工补充
非基因组效应	教材索引
非联合型学习	教材索引
非陈述性记忆	教材索引
顺行性遗忘症	教材索引
黏膜下神经丛	教材索引
三原色学说	教材索引
两点辨别阈	教材索引
中心静脉压	教材索引
中性粒细胞	教材索引
交互性突触	教材索引
体温调定点	人工补充
保钾利尿剂	教材索引
内淋巴电位	教材索引
内源性凝血	人工补充
内脏平滑肌	教材索引
减慢充盈期	教材索引
减慢射血期	教材索引
前胰岛素原	教材索引
前运动皮层	教材索引
副交感神经	人工补充
功能余气量	人工补充
功能性作用	教材索引
动静脉短路	教材索引
化学性消化	教材索引
化学感受器	教材索引
化学驱动力	教材索引
单突触反射	教材索引
单线式联系	教材索引
压力性利尿	教材索引
压力感受器	教材索引
原肌球蛋白	教材索引
去大脑僵直	教材索引
去皮层僵直	教材索引
反向转运体	教材索引
反牵张反射	教材索引
发生器电位	教材索引
可兴奋细胞	教材索引
可塑变形性	教材索引
同向转运体	教材索引
