行号	疑似误识	建议术语	原句
124	去点位	阈电位	一般咱们认为预点位就比细胞摸进去点位呀,它绝对只是小个10到20毫伏。
127	心理失常	心律失常	所以《生存教材》还经常会写呀,有一个经典的抗心脏药物,抗心理失常药。
129	心理失常	心律失常	临床到现在,现在的临床医学上,抗心理失常的药物,使用已经很少了。
133	心理失常	心律失常	心理失常一般都使用变身医学手段,它就出的装气泡器呀,刀剐消容呀,
173	半通道	慢通道	结果这个时候,你昆尼丁吃了以后,把一半通道给我失活,只剩250了。
178	伏刺激	阈刺激	可能你从-90毫伏刺激到-80,只开放了10个通道。
244	外密密	外泌体	如果浓度增高了以后,钙在膜外密密的分布了一层。
311	机细胞	壁细胞	第一个,星机细胞幸福性只有三个时期。
421	变压钳	电压钳	一个细胞,把它用变压钳子积腐,
848	机细胞	壁细胞	心室机细胞动作内容,
860	机细胞	壁细胞	一个心室机细胞动作内容,
884	机细胞	壁细胞	再看心室机细胞的内容,
894	机细胞	壁细胞	具体的心室机细胞,
1349	子分析	自分泌	纳奖崩需要把粒子分析平衡一下,
1433	复电位	阈电位	和复七时到你的复电位,
1668	基细胞	壁细胞	再到每一个形式基细胞
1670	基细胞	壁细胞	心基细胞之间的信奉传导
1673	基细胞	壁细胞	还得加上心基细胞之间的
1712	步传导	骨传导	不同步传导速度不一样
1724	续传到	骨传导	在向每个心室及心房积继续传到过程中
1761	心室数	心指数	心室数左右负值
1868	基细胞	壁细胞	新石基细胞是那类流去激化的
1872	基细胞	壁细胞	东方基细胞是该那流去激化的
1889	基细胞	壁细胞	你说东方基细胞和心室肌细胞
1987	机细胞	壁细胞	在一个正常的心室机细胞动作电源的基础之上呀
2264	心理视场	心律失常	心理视场心电图的测量
2266	心理视场	心律失常	心理视场的诊断
2406	机细胞	壁细胞	形式机细胞
2416	机细胞	壁细胞	到心机细胞
