行号	误识	纠正为	置信度	原句
398	鸟肝酸结合蛋白	鸟苷酸结合蛋白	high	中文叫鸟肝酸结合蛋白,
401	鸟肝酸结合蛋白	鸟苷酸结合蛋白	high	上面长了一个鸟肝酸结合蛋白,
432	神经地质	神经递质	high	就释放一个神经地质,
486	去钾肾上腺素	去甲肾上腺素	high	去钾肾上腺素,
494	去钾肾上腺素	去甲肾上腺素	high	去钾肾上腺素你学到了没有?
495	去钾肾上腺素	去甲肾上腺素	high	去钾肾上腺素,
609	尿肝酸结合蛋白	鸟苷酸结合蛋白	high	所以中文叫尿肝酸结合蛋白
697	胶感神经	交感神经	high	结合到胶感神经释放的去甲肾的时候
753	脚感神经	交感神经	high	从脚感神经膜上释放出来
1213	蛋白基酶	蛋白激酶	high	蛋白基酶叫PKA
1216	蛋白基酶	蛋白激酶	high	蛋白基酶
1218	蛋白基酶	蛋白激酶	high	蛋白基酶的作用一般能干嘛
1311	促代谢性受体	促代谢型受体	high	还叫做促代谢性受体
1358	曲甲肾上腺素	去甲肾上腺素	high	曲甲肾上腺素
1361	胶感神经	交感神经	high	胶感神经释放曲甲肾
1366	胶感神经	交感神经	high	从胶感神经兴奋释放曲甲肾
1370	胶感神经	交感神经	high	胶感神经和心脊细胞之间的
1403	胶感神经	交感神经	high	在去胭生和胶感神经
