行号	误识	纠正为	置信度	原句
47	副胶感神经	副交感神经	high	当然在很多时候,米走在医学上也叫做副胶感神经。
62	副胶感神经	副交感神经	high	应该这样说,米走神经包含副胶感神经和传入部分,两块。
84	结康机	拮抗剂	high	在生理学这门口的基础之上,把受体拿出来,是吧,把地质拿出来,找一个相似的物质,找一个不同的物质,我们就叫机动机,结康机,等等。
127	中板膜	终板膜	high	在中板膜上长的一个东西,叫N2型的咽碱受体。
137	动作点位	动作电位	high	从神经纤维,实际上就是阿尔法神经元啊,周托莫烧,这个小动作点位APXMOTENCAL,上节为什么讲它。
138	动作点位	动作电位	high	动作点位到达这个肌肉以后呀,和肌肉之间产生一个肌膜动作点位。
138	动作点位	动作电位	high	动作点位到达这个肌肉以后呀,和肌肉之间产生一个肌膜动作点位。
142	中板点位	终板电位	high	接头这个中板点位并不是动作点位。
142	动作点位	动作电位	high	接头这个中板点位并不是动作点位。
143	中板点位	终板电位	high	所以在中板点位变成肌细胞膜动点位之间,还有一个过程。
154	跨模信号转导	跨膜信号转导	high	神经和肌肉之间如何进行信息交流,进行跨模信号转导的。
258	结头前膜	接头前膜	high	在这儿就称之为一个结头前膜
260	结头前膜	接头前膜	high	结头前膜有几个结构
328	雪液凝固	血液凝固	high	钙在雪液凝固中起什么作用
443	切头后膜	接头后膜	medium	切头后膜
494	中板膜	终板膜	high	中板膜尽管是机器膜膜一部分
557	中板膜	终板膜	high	所以中板膜一个是长着这么通道
600	合收体	核受体	high	会出来单间结合收体通道打开以后
607	中板膜	终板膜	high	截图间隙中板膜
665	神经肌肉架头	神经肌肉接头	medium	所以世界上神经肌肉架头
694	中板膜	终板膜	high	那么中板膜后膜
700	中板膜	终板膜	high	在中板膜的周围
710	中板膜	终板膜	high	中板膜上
716	中板膜	终板膜	high	中板膜上长了个什么通道
739	中板膜	终板膜	high	实际上中板膜
753	十万细胞	施万细胞	high	十万细胞
756	中板膜	终板膜	high	现实体中板膜这些地方
789	中半膜	终板膜	high	后膜也叫中半膜
815	中半膜	终板膜	high	中半膜有个结构
840	中半膜	终板膜	high	最后和中半膜上的
843	中半膜	终板膜	high	引发中半膜产生一个通道
848	中半膜	终板膜	high	中半膜发生区域化
864	预点位	阈电位	high	它的预点位是-50毫伏左右
866	预点位	阈电位	high	慢慢在它预点位置的概念
876	中板膜	终板膜	high	和中板膜上的受体结合
893	神经院	神经元	high	这就是阿富汗运动神经院
896	神经院	神经元	high	脑运动神经院
909	神经院	神经元	high	这些运动神经院
911	曲继化	去极化	high	曲继化
1011	街头间隙	接头间隙	high	游过街头间隙
1012	中板膜	终板膜	high	然后就和后膜中板膜上
1016	中板膜	终板膜	high	中板膜你发现课件写着
1021	中板膜	终板膜	high	这个明明中板膜
1033	中板膜	终板膜	high	中板膜是骨骼基细胞膜一个特殊的部分
1061	中板膜	终板膜	high	就算中板膜上N2系解解受体
1077	中板膜	终板膜	high	在这个地方认真通过这个中板膜叠位
1113	区计划	去极化	high	动作得比区计划的
1127	中板膜	终板膜	high	就和中板膜上L型受体去结合
1128	中板膜	终板膜	high	引发中板膜
1133	中板膜	终板膜	high	中板膜就发生了内流
1135	中板膜	终板膜	high	就把中板膜给它区计划了
1135	区计划	去极化	high	就把中板膜给它区计划了
1137	中板电位	终板电位	high	就称之为中板电位
1140	中板电位	终板电位	high	中板电位只能是局部电位
1142	中板电位	终板电位	high	那么从中板电位开始
1205	中板膜	终板膜	high	中板膜就长在机器帮膜上
1211	全货物	全或无	high	不是全货物的
1217	膜点位	膜电位	high	把正常细胞膜点位从-90掉进
1222	动作点位	动作电位	high	动作点位是机细膜的事
1223	动作点位	动作电位	high	动作点位是机细胞膜的事
1224	中板膜	终板膜	high	中板膜上没有动作点位
1224	动作点位	动作电位	high	中板膜上没有动作点位
1235	中板点位	终板电位	high	中板点位就相当于实验中的电刺激器
1237	预强度	阈强度	high	就是一个预强度与刺激
1238	中板点位	终板电位	high	它只要这个中板点位
1241	预点位	阈电位	high	变成-70预点位
1244	中板点位	终板电位	high	实际上中板点位
1311	中板膜	终板膜	high	中板膜老放电
1344	中板膜	终板膜	high	你看实际上中板膜呀
1355	中板膜	终板膜	high	就能让中板膜呀
1357	曲级化	去极化	high	0.4个毫伏的曲级化
1364	曲级化	去极化	high	一个囊袍让膜曲级化0.4
1375	中板膜	终板膜	high	100囊袍能让中板膜曲级化
1375	曲级化	去极化	high	100囊袍能让中板膜曲级化
1386	预电位	阈电位	high	而预电位是-70
1416	中板膜	终板膜	high	在中板膜上
1552	中板膜	终板膜	high	都是在中板膜上
1684	接头前摸	接头前膜	high	在接头前摸着也会行
1784	信号传导	信号转导	medium	信号传导
1788	中板摸	终板膜	high	如果后摸中板摸
1855	基小节	肌小节	high	就有所谓的基小节的概念了
1913	出场度	初长度	high	叫最适的出场度
1916	最适出场度	最适初长度	high	最适出场度
1919	绩小节	肌小节	high	一个绩小节长度
1982	基小节	肌小节	high	或一个基小节
1984	基小节	肌小节	high	基小节是五颗基细胞
1986	基小节	肌小节	high	那么基小节怎么构成
2021	基小节	肌小节	high	基小节会变短
2165	技巧节	肌小节	medium	每个技巧节都缩短
2167	技巧节	肌小节	medium	说一号三号技巧节收缩
2247	极小节	肌小节	high	极小节的结构
2409	异化扩散	易化扩散	high	异化扩散
2442	型盖通道	型钙通道	high	L型盖通道
2512	型盖通道	型钙通道	high	哪里借过L型盖通道
