行号	误识	纠正为	置信度	原句
4	电压前	电压钳	high	好同学们,咱们经过前面的学习,慢慢的发现动作电位是一个过程,静息电位是一个状态,而且通过改变膜外的组织液或者细胞外液的液体中,拿来自的浓度或者是用电压前置技术去加一个纳通道阻断剂TTX加一个假通道的非雪的阻断剂TACN来分别观察,
5	电压前	电压钳	high	在膜的电位发生过程中,阻断纳通道,膜尔想记录不到内向电流,阻断假通道,膜尔想记录不到外向电流,一种方法直接或间接来去验证动作电位产生过程中,它的去极化过程是纳内流实现的,复极化过程是假的外流实现的,而且咱们进一步通过电压前置技术和膜片前置技术去研究发现这个假粒子的外流,
5	膜片前	膜片钳	high	在膜的电位发生过程中,阻断纳通道,膜尔想记录不到内向电流,阻断假通道,膜尔想记录不到外向电流,一种方法直接或间接来去验证动作电位产生过程中,它的去极化过程是纳内流实现的,复极化过程是假的外流实现的,而且咱们进一步通过电压前置技术和膜片前置技术去研究发现这个假粒子的外流,
11	反击化	反极化	high	你要卸下这个是一通话的,就是外附内正出于反击化了,
16	反击化	反极化	high	因为只有摩内正,摩外附,这反击化状态,
45	反击化	反极化	high	变成C图的外附内正反击化,
51	负极化	复极化	high	负极化的过程不用问,是甲离子的外流负极化的,
51	负极化	复极化	high	负极化的过程不用问,是甲离子的外流负极化的,
57	负极化	复极化	high	就是钠内流负极化,
61	负极化	复极化	high	这个细胞,它不是钠内流负极化的,
62	负极化	复极化	high	是钙内流负极化,
64	负极化	复极化	high	钠离子内流有些细胞是动作电位负极化的,
65	负极化	复极化	high	钙内流、豆方结负极化动作电位的,
75	负极化	复极化	high	负极化,
77	负极化	复极化	high	负极化比较单一,
80	负极化	复极化	high	负极化是甲,
131	去几化	去极化	high	反正是纳内流去几化,
132	复几化	复极化	high	甲内流复几化,
141	去几化	去极化	high	甲就外流,我还怎么去几化,
143	去几化	去极化	high	之所以我们发生快速去几化,
145	去几化	去极化	high	可为什么我还能快速去几化?
158	去几化	去极化	high	先发生纳内流去几化,内下电流,
159	复几化	复极化	high	再发生甲外流复几化。
164	阻断级	阻断剂	high	纳通道阻断级阻断之后,
168	去几化	去极化	high	先内流去几化,
169	复几化	复极化	high	再外流复几化,
230	区集化	去极化	high	越区集化,
231	摸电位	膜电位	high	那么摸电位,距离假的平衡电位就越远,
238	摸电位	膜电位	high	是当前摸电位,
241	区集化	去极化	high	纳内流引发摸区集化以后,
242	摸电位	膜电位	high	摸电位
251	区集化	去极化	high	什么叫区集化,
252	区集化	去极化	high	区集化就是摸电位,
252	摸电位	膜电位	high	区集化就是摸电位,
256	区集化	去极化	high	越区集化,
260	区集化	去极化	high	区集化,
264	区集化	去极化	high	但是纳一内流摸区集化的时候,
266	区集化	去极化	high	那么越区集化,
271	区集化	去极化	high	所以区集化过程中假的驱动力增大了,
410	曲极化	去极化	high	粤曲极化
411	摩点位	膜电位	high	摩点位距离甲的平衡点位
411	平衡点位	平衡电位	high	摩点位距离甲的平衡点位
415	曲极化	去极化	high	粤曲极化
433	平衡点位	平衡电位	high	过一会儿是慢慢的纳越来越接近平衡点位
435	平衡点位	平衡电位	high	甲越来越越的平衡点位
516	去计划	去极化	high	你怎么刺激他去计划
518	注入正	侏儒症	high	给细胞膜内注入正电荷
524	去计划	去极化	high	我们把这个叫做去计划
529	超计划	超极化	high	那叫超计划刺激
532	去计划	去极化	high	去计划刺激才合适
534	去计划	去极化	high	那么这个膜的去计划
536	去计划	去极化	high	刚刚给刺激的时候膜去计划是什么
539	去计划	去极化	high	让膜去计划
600	区集化	去极化	high	区集化区集化
600	区集化	去极化	high	区集化区集化
603	区集化	去极化	high	越区集化
604	区集化	去极化	high	越区集化
615	区集化	去极化	high	动作电位的区集化过程中
649	区计化	去极化	high	东西电力区计化过程中
656	区计化	去极化	high	在一开始接触刺激区计化的时候
658	区计化	去极化	high	还不足以产生一个直接区计化
663	区计化	去极化	high	才会真正区计化
667	动作点位	动作电位	high	你要让细胞膜产生一个动作点位
730	去计划	去极化	high	去计划刺激变成超计划
730	超计划	超极化	high	去计划刺激变成超计划
755	预强度	阈强度	high	接着把下听第一个叫预强度
756	预强度	阈强度	high	什么叫预强度
761	预强度	阈强度	high	称之为预强度
762	预强度	阈强度	high	预强度
764	预刺激	阈刺激	high	当然就叫预刺激
766	预强度	阈强度	high	达到预强度的刺激
767	预刺激	阈刺激	high	叫预刺激
769	预强度	阈强度	high	强度大于预强度的
770	预强度	阈强度	high	比如说预强度是
777	预刺激	阈刺激	high	预刺激
819	曲级化	去极化	high	曲级化
860	区计划	去极化	high	结果区计划的幅度就有限
866	区计划	去极化	high	哪一内流膜就要区计划
880	区计划	去极化	high	这区计划很快就湮灭了
886	局部点位	局部电位	high	局部点位
912	动作点位	动作电位	high	动作点位
924	动作点位	动作电位	high	一个局部反应要变成动作点位
929	预点位	阈电位	high	预点位的概念
940	预点位	阈电位	high	预点位
958	预点位	阈电位	high	我们怎么理解都得产生这个预点位呀
970	平衡点位	平衡电位	high	让摩底位越来越远离甲的平衡点位
971	平衡点位	平衡电位	high	而区域化的过程越来越接近钠的平衡点位
978	平衡点位	平衡电位	high	靠你自己平衡点位了
