行号	疑似误识	建议术语	原句
162	尿钙酸结合蛋白	鸟苷酸结合蛋白	尿钙酸结合蛋白,
221	学习到	血细胞	咱们刚打开圣经学习到细胞这一章,
411	去积荟	去极化	去积荟一个酶,
674	尿钙酸结合蛋白	鸟苷酸结合蛋白	那么这个G蛋白尿钙酸结合蛋白什么意思
1183	基细胞	壁细胞	以心基细胞为例
1184	基细胞	壁细胞	说心基细胞的
1187	去激活	去极化	通过GS蛋白去激活
1212	内部细	内呼吸	就是激活内部细胞内部的一个
1222	脊细胞	壁细胞	在心脊细胞膜内
1228	脊细胞	壁细胞	那么心脊细胞膜上
1236	脊细胞	壁细胞	心脊细胞和骨骼脊细胞
1236	脊细胞	壁细胞	心脊细胞和骨骼脊细胞
1241	脊细胞	壁细胞	骨骼脊细胞是变构效应
1242	脊细胞	壁细胞	心脊细胞是CICR
1252	脊细胞	壁细胞	心脊细胞是不会收缩的
1275	脊细胞	壁细胞	心脊细胞的收缩
1279	脊细胞	壁细胞	在心脊细胞兴奋动作连累的时候
1287	脊细胞	壁细胞	心脊细胞的收缩率就越大
1297	脊细胞	壁细胞	曲甲胜结合心脊细胞
1304	脊细胞	壁细胞	是让心脊细胞内部产生了生化反应
1316	分解合	肺结核	开始分解合成
1335	脊细胞	壁细胞	以曲甲胜合心脊细胞为例
1338	脊细胞	壁细胞	PKA就把心脊细胞膜
1347	脊细胞	壁细胞	心脊细胞性不出所欧联的
1362	收缩卡	收缩压	心脏收缩卡就加强了
1363	脊细胞	壁细胞	因为心脊细胞里面多了一组CAMP
1367	脊细胞	壁细胞	到心脊细胞膜钙通道打开
1370	脊细胞	壁细胞	胶感神经和心脊细胞之间的
1402	脊细胞	壁细胞	心脊细胞膜上
1423	脊细胞	壁细胞	就能激活咱们心脊细胞里面
1465	尿钙酸结合蛋白	鸟苷酸结合蛋白	G代白中叫尿钙酸结合蛋白
1551	霉结合	肺结核	它受体直接就和霉结合了
