行号	误识	纠正为	置信度	原句
8	结抗作用	拮抗作用	high	那么一个孕妇在后期她的乳腺发育是非常,应该说是完美的,完美的,但是为什么又不蜜乳,必须在丰免之后,这才发现在妊娠过程中,来自胎盘的次女激素,对于垂体的蜜乳素的一个蜜乳作用,又具有一个结抗作用。
10	复反馈	负反馈	high	应该叫素材式的,这么一个知识点印信息,最终把它汇聚成一个整个人生过程中乳腺的发育,有蜜乳功能,有配配不蜜乳的激素都完备,建立一个激素类的相互结抗,是所谓的反馈,复反馈的这样一个概念。
242	轴将运输	轴浆运输	high	轴将运输顺向的逆向的快速的慢速的,
667	接抗击	拮抗剂	high	甘肃是间接抗击的,
669	渗透呀	渗透压	high	血浆渗透呀,
672	胶体渗透呀	胶体渗透压	high	胶体渗透呀,
803	化学突出	化学突触	high	一个叫化学突出,
805	神经地质	神经递质	high	华学院的神经地质,
809	电突出	电突触	high	叫电突出,
848	化学突出	化学突触	high	化学突出,
850	化学突出	化学突触	high	化学突出呀,
855	化学突出	化学突触	high	化学突出是单向的,
864	化学突出	化学突触	high	化学突出不是,
867	化学突出	化学突触	high	那么这个基础是让化学突出,
872	化学突出	化学突触	high	化学突出呀,
874	化学突出	化学突触	high	也就是定向的化学突出,
883	异化区	易化区	high	叫这个异化区,
895	异化区	易化区	high	都需要这么一个特殊的异化区,
923	化学突出	化学突触	high	以及精简的化学突出,
967	中板膜	终板膜	high	中板膜上只有一种受体,
998	化学突出	化学突触	high	化学突出,
1000	化学突出	化学突触	high	就是这个化学突出,
1144	神经地质	神经递质	high	氨基酸类的神经地质,
1236	力细胞	粒细胞	high	去治疗慢性力细胞白血病,
1300	去激活	去极化	medium	去激活包含地质的这个囊泡,
1409	区激活	去极化	medium	还激活区激活你们呀,
1466	突出前意志	突触前抑制	high	突出前意志,
1468	突出前意志	突触前抑制	high	是突出前意志的结构基础,
1474	突出前意志	突触前抑制	high	是突出前意志的结构基础,
1497	局部毁路神经元	局部回路神经元	high	这个局部毁路神经元,
1503	局部神经元毁路	局部神经元回路	high	叫局部神经元毁路,
1514	突出传递	突触传递	high	我们是按照突出传递完了以后的效应,
1521	突出传递	突触传递	high	经过突出传递以后,
1536	神经地质	神经递质	high	氨基酸类的神经地质,
1589	基底神经解	基底神经节	high	基底神经解,
1628	基底神经解	基底神经节	high	基底神经解多巴胺就是这样的,
1674	区计化	去极化	high	区计化到富士长服务,
1713	预点位	阈电位	high	这是预点位,
1791	离子通道性受体	离子通道型受体	high	离子通道性受体,
1798	视感细胞	视杆细胞	high	在视感细胞,
1810	超级化	超极化	high	摸就超级化,
1812	区级化	去极化	high	摸就区级化,
1815	区级化	去极化	high	区级化和超级化,
1815	超级化	超极化	high	区级化和超级化,
