行号	疑似误识	建议术语	原句
51	呼吸声	呼吸商	人体需要两个器官维持酸解平衡,一是肺,在呼吸声里全学过了,二就是肾。
56	肺脏通	内脏痛	是要直观的看,谁变了?肺脏通过二氧化碳的这个排放量改变。
57	肺脏通	内脏痛	肺脏通过二氧化碳来改变机体的酸解,肾脏通过碳酸清羹来改变机体的酸解。
209	上五点	生物电	你早上五点钟起来吧,一个活的大鼠拿过来。
218	基细胞	壁细胞	现在,生物学学到现在为止,你体会一下,在细胞内一章反复强调,骨骼基细胞三列过,心肌二列过。
229	基细胞	壁细胞	就它自己这个细胞两头,一个基细胞两头并不是光滑的,就像腹部在咱们骨头这个腹部的脸上,是吧?
235	着细胞	主细胞	因此,你把这个细胞,放着细胞的视罐,往那静置一会儿。
276	上五点	生物电	早上五点钟就醒了,
796	乙醪素	胰岛素	学过乙醪素和缺骨酮系统,
918	远虚小管	远曲小管	负责把远虚小管和陆虚小动脉,
932	远虚小管	远曲小管	应该是它会把远虚小管,
1222	剂细胞	壁细胞	刺激平滑剂细胞钙通道开放完毕,
1223	剂细胞	壁细胞	那么平滑剂细胞对膜外钙的,
1227	剂细胞	壁细胞	平滑剂细胞收缩收缩,
