行号	误识	纠正为	置信度	原句
6	负赛米	呋塞米	high	主动钠吸收,通过所谓的一个结构,钠甲二氯同向转运,所以这专门讲了一个利尿剂,负赛米。
231	硝酸液	小管液	medium	他是亚硝酸液中毒了。
294	全固酮	醛固酮	high	全固酮。
469	弗塞米	呋塞米	high	前面还讲了一个弗塞米。
587	着细胞	主细胞	medium	就在这儿给你写着细胞。
711	福塞米	呋塞米	high	像刚才咱们前面讲过的福塞米一样。
734	通向转运	同向转运	high	影响了原效果起始的纳粒通向转运。
783	全固酮	醛固酮	high	也叫全固酮受体的解抗剂。
783	解抗剂	拮抗剂	high	也叫全固酮受体的解抗剂。
784	全固酮	醛固酮	high	全固酮受体解抗剂。
784	解抗剂	拮抗剂	high	全固酮受体解抗剂。
807	保假利尿剂	保钾利尿剂	high	叫保假利尿剂。
828	保假利尿剂	保钾利尿剂	high	保假利尿剂罗内酯为何能保假?
856	保假利尿剂	保钾利尿剂	high	保假利尿剂为何能保假。
858	小管各	小管液	medium	剩小管各段。
863	进去小管	近曲小管	high	进去小管这个地方。
873	秋管平衡	球管平衡	high	我们叫秋管平衡。
1019	远去小管	远曲小管	high	远去小管的起始。
1020	远去小管	远曲小管	high	和远去小管的后半段。
1213	绿转移	氯转移	high	有人叫绿转移。
1215	绿转移	氯转移	high	我绿转移。
1216	绿转移	氯转移	high	绿转移。
1561	冲吸收	重吸收	medium	以那性交换形式去冲吸收。
1663	肾糖欲	肾糖阈	high	叫肾糖欲。
1692	肾糖愈	肾糖阈	high	肾糖愈何。
1694	肾糖愈	肾糖阈	high	肾糖愈尿。
1716	激发性主动转运	继发性主动转运	high	这是最典型一个激发性主动转运。
1718	激发性主动转运	继发性主动转运	high	激发性主动转运。
1776	欲强度	阈强度	high	叫欲强度。
1777	欲刺激	阈刺激	high	欲刺激。
1930	肾糖欲	肾糖阈	high	肾糖欲。
1977	肾带位	肾单位	medium	一个肾脏有100万个肾带位。
1978	肾带位	肾单位	medium	这100万个肾带位都吸收不了到极限了。
1979	肾带位	肾单位	medium	一个肾带位吸收不了的时候。
1981	肾带位	肾单位	medium	所有肾带位都吸收不了的时候。
1994	肾带位	肾单位	medium	一侧肾脏100万个肾带位。
1995	肾带位	肾单位	medium	如果有个10个8个的肾带位呀。
1999	肾带位	肾单位	medium	但注意他周围别的肾带位人家还在极限值之内。
2183	康利尿激素	抗利尿激素	high	但是有了康利尿激素以后。
2190	康利尿激素	抗利尿激素	high	康利尿激素。
2200	肖管呀	小管液	medium	去研究了一下不同部位的生肖管呀。
2215	结抗剂	拮抗剂	high	铁活动对结抗剂。
