行号	疑似误识	建议术语	原句
8	细细胞	壁细胞	有基细细胞、神经元和内分泌线体细胞。
8	线体细胞	前体细胞	有基细细胞、神经元和内分泌线体细胞。
12	自理细胞	自律细胞	非自理细胞,这种概念你要先有,然后往下读。
14	际细胞	壁细胞	你还记得在前面学过,神经细胞的近期电位-70,国际细胞-90,对了,心肌细胞-90。
95	甲流通道	钾漏通道	不再是甲流通道,而是RK1。
109	甲流通道	钾漏通道	不管是传统的甲流通道,还是星是机器把RK1,
142	忆电位	阈电位	当然,新的记忆电位还有其他电流,
194	集细胞	壁细胞	谷歌集细胞也是这样,分列位和后列位。
195	机细胞	壁细胞	新时机细胞和其他细胞的动作列位,
227	机细胞	壁细胞	我们第一次从这儿接触新式机细胞动机叠位,
229	机细胞	壁细胞	动机叠位,新式机细胞,是五个时期构成的。
253	速复即	壶腹嵴	一期叫快速复即的早期。
254	速复即	壶腹嵴	快速复即早期,一会儿一个一个分开学。
256	速复即	壶腹嵴	三期叫快速复即的晚期。
264	机细胞	壁细胞	星矢机细胞发生兴奋,就快速趋极化。
273	机细胞	壁细胞	星矢机细胞趋极化的幅度大,
293	机细胞	壁细胞	星矢机细胞属于快反应细胞,
299	己细胞	壁细胞	像自己细胞,
394	速附计	壶腹嵴	就是所谓的快速附计早期,
403	速附计	壶腹嵴	快速附计划的早期怎么实现的,
458	生物链	生物电	如果在细胞内障的生物链里边,
462	基细胞	壁细胞	新基细胞电风筒的学习,
471	积细胞	壁细胞	在新房积细胞,
472	积细胞	壁细胞	模儿上和新石积细胞比一下,
476	积细胞	壁细胞	新房积细胞动电的时程稍微短一点,
780	纪细胞	壁细胞	在新世纪细胞电影活动中,
787	纪细胞	壁细胞	因为新世纪细胞模式上,
789	基细胞	壁细胞	其实对新基细胞来说,
891	速复计	壶腹嵴	我们又称之为快速复计的晚期,
