行号	误识	纠正为	置信度	原句
127	生物链	生物电	medium	第三节细胞的生物链
134	生物链	生物电	medium	所以现在你就是学一下生物链
186	生物链	生物电	medium	你在网上学发现生物链是生理学独特的一个内容
190	生理越	生理学	medium	你慢慢慢慢的下学期再学别的学科学药理学病理解剖学病理生理越学越发现机器把收缩也是有很多信息的
700	高学业	高血压	medium	太高学业年宠
787	液态向前模型	液态镶嵌模型	high	刚才讲细胞膜是一个液态向前模型
988	抗力鸟激素	抗利尿激素	high	在人体有了抗力鸟激素
996	抗力鸟激素	抗利尿激素	high	没有抗力鸟激素了
1847	废换器	肺换气	high	废换器
2070	钠甲崩	钠钾泵	high	能看到钠甲崩的
2072	钠甲崩	钠钾泵	high	它转运成钠甲崩一次的话
2451	异化扩散	易化扩散	high	来说异化扩散
2841	异化扩散	易化扩散	high	载体异化扩散
3045	中板膜	终板膜	high	中板膜还有个NNN
3160	生物链	生物电	medium	细胞生物链
3161	动作点位	动作电位	high	有个内容叫动作点位
3163	动作点位	动作电位	high	动作点位
3164	趋激化	去极化	high	趋激化复激化
3164	复激化	复极化	high	趋激化复激化
3167	复激化	复极化	high	打伴随着复激化的过程
3172	复激化	复极化	high	打复激化的复
3196	道血压	高血压	medium	他怎么知道血压高低
3528	钠甲蹦	钠钾泵	high	钠甲蹦
3622	激发性主动转运	继发性主动转运	high	为激发性主动转运
3728	渗透鸭	渗透压	high	渗透鸭
3729	渗透鸭	渗透压	high	渗透鸭
3730	渗透鸭	渗透压	high	渗透鸭
3733	钠甲崩	钠钾泵	high	钠甲崩越工作
3741	钠甲崩	钠钾泵	high	钠甲崩是需要ATP来驱动的
3744	钠甲崩	钠钾泵	high	钠甲崩驱动不起来
3748	渗透鸭	渗透压	high	细胞内部渗透鸭越高
3760	钠甲崩	钠钾泵	high	钠甲崩不工作
3763	钠甲崩	钠钾泵	high	钠甲崩不工作
3764	钠甲崩	钠钾泵	high	钠甲崩重新开始驱动
3772	钠甲崩	钠钾泵	high	钠甲崩通过这样一个转运
3773	渗透鸭	渗透压	high	能够保持细胞内部的渗透鸭
3774	渗透鸭	渗透压	high	能保持渗透鸭
3776	渗透鸭	渗透压	high	能保持渗透鸭
3787	钠甲崩	钠钾泵	high	所以钠甲崩有一个重要功能
3789	渗透鸭	渗透压	high	维持细胞内部渗透鸭的能力
3792	钠甲崩	钠钾泵	high	钠甲崩作用是很荣耀的
3794	钠甲崩	钠钾泵	high	咱们除了钠甲崩以外
3801	钠甲崩	钠钾泵	high	钠甲崩是把
4098	钠甲崩	钠钾泵	high	长个钠甲崩
4099	钠甲崩	钠钾泵	high	钠甲崩卡崩
4102	钠甲崩	钠钾泵	high	那么钠甲崩越给你做
4111	钠甲崩	钠钾泵	high	膜内钠通过钠甲崩崩走了
4128	铜箱转运	同向转运	high	铜箱转运
4144	钠甲泵	钠钾泵	high	先利用钠甲泵
4153	技法性主动转运	继发性主动转运	high	技法性主动转运
4168	模炮引数	膜泡运输	medium	所谓的模炮引数
