行号	误识	纠正为	置信度	原句
8	内分泌线	内分泌腺	high	有基细细胞、神经元和内分泌线体细胞。
12	理细胞	粒细胞	high	非自理细胞,这种概念你要先有,然后往下读。
75	内向正流	内向整流	high	我们叫做内向正流的甲电流。
88	内向正流	内向整流	high	要不你就叫中文,叫内向正流甲酮胀。
102	内向正流	内向整流	high	因为这内向正流,内向正流,一说电流,
102	内向正流	内向整流	high	因为这内向正流,内向正流,一说电流,
116	摩天位	膜电位	medium	是要接受摩天位的影响的。
119	摩天位	膜电位	medium	摩天位就是电压。
141	摩电位	膜电位	high	但是摩电位电压会调节RK1开放大小。
252	趋极化	去极化	high	那么,零期叫趋极化。
258	动作点位	动作电位	high	所以,动作点位是零一二三四,五个期构成的。
260	趋极化	去极化	high	刚才先看第一期了,趋极化,零期趋极化。
260	趋极化	去极化	high	刚才先看第一期了,趋极化,零期趋极化。
261	趋极化	去极化	high	零期趋极化怎么实现的?
262	趋极化	去极化	high	Departure Releasing,趋极化过程。
264	趋极化	去极化	high	星矢机细胞发生兴奋,就快速趋极化。
267	动作点位	动作电位	high	而形成动作点位的深支,就是这个零期趋极化。
267	趋极化	去极化	high	而形成动作点位的深支,就是这个零期趋极化。
269	趋极化	去极化	high	这样的话,趋极化的幅度,
273	趋极化	去极化	high	星矢机细胞趋极化的幅度大,
294	趋极化	去极化	high	是纳纽流趋极化的,
317	去计划	去极化	high	细胞模式的去计划过程,
336	预点位	阈电位	high	预点位水平,
339	预点位	阈电位	high	预点位一般咱们认为,
342	预点位	阈电位	high	把预点位自然就认可为小20毫幅了,
344	预点位	阈电位	high	那么预点位-70,
347	预点位	阈电位	high	那么预点位就是-50毫幅,
391	附计划	复极化	high	附计划一来这玩下雪。
392	附计划	复极化	high	附计划咱们刚才说,
398	期计划	去极化	medium	一般咱们就把零期计划,
399	附计划	复极化	high	和一期附计划这一小块,
400	风电位	锋电位	high	叫做传统意义上的风电位了。
403	附计划	复极化	high	快速附计划的早期怎么实现的,
443	型概通道	型钙通道	high	甚至还有T型概通道参与,
451	复集化	复极化	high	一期复集化,
455	复集化	复极化	high	那么在一期复集化,
541	摸电位	膜电位	high	外观上看摸电位为什么变化,
570	基钙蛋白	肌钙蛋白	high	吸移丝还有基钙蛋白,
579	阻断器	阻断剂	medium	阻断器可以通过门,
590	阻断器	阻断剂	medium	因为这些通道能被钙阻断器阻断,
600	去几化	去极化	high	内向电流让摩发生去几化,
609	去几化	去极化	high	钙的内流会让摩发去几化,
611	去几化	去极化	high	线条往上走是去几化,
612	浮几化	复极化	high	线条往下来是浮几化,
623	去几化	去极化	high	钙内流让摩发去几化,
624	去几化	去极化	high	去几化,
626	去几化	去极化	high	钙外流会让摩发去几化,
627	附几化	复极化	high	附几化的话,
628	附几化	复极化	high	越附几化快,
637	续几化	去极化	medium	连续几化,
639	附几化	复极化	high	一期附几化,
686	区计化	去极化	high	在摩儿发生区计化的时候,
688	区计化	去极化	high	摩儿越区计化,
693	区计化	去极化	high	伴随摩儿区计化的过程,
705	区计化	去极化	high	摩儿越区计化,
707	负计化	复极化	high	摩儿越负计化,
728	区计化	去极化	high	内向整流是摩儿区计化的时候,
748	区计化	去极化	high	内向整流就是伴随摩儿的区计化,
754	区计化	去极化	high	希望摩儿开始区计化的时候,
759	平台器	平台期	high	差不多应该是在平台器快结束的时候,
764	平台器	平台期	high	平台器的后半段,
769	平台器	平台期	high	在平台器具体发布的,
783	区计划	去极化	high	差不多就变成那样的区计划,
784	复计划	复极化	high	加不得复计划,
848	平台系	平台期	medium	平台系怎么实现的,
851	复计化	复极化	high	加外流复计化,
858	平台系	平台期	medium	平台系的时候开放小,
859	平台系	平台期	medium	平台系开放就小了,
860	平台系	平台期	medium	越往平台系走,
862	内向正流	内向整流	high	这个现象就叫做内向正流,
865	内向正流	内向整流	high	RK1内向正流,
876	平台系	平台期	medium	平台系里边看起来,
878	内向正流	内向整流	high	一个是内向正流,
879	内向正流	内向整流	high	内向正流的RK1,
888	平台系	平台期	medium	平台系结束以后,
889	复计化	复极化	high	就该进入三期的复计化,
909	复计化	复极化	high	三期复计化是价格都实现的,
911	复计化	复极化	high	三期复计化两个价实现,
912	平台系	平台期	medium	前半段就从平台系结束,
913	复计化	复极化	high	到了三期复计化到复60号复,
916	复计化	复极化	high	是IK借到复计化的,
926	平台系	平台期	medium	平台系结束,
927	复计化	复极化	high	开始复计化,
947	复计化	复极化	high	三期复计化的后半程,
956	去计划	去极化	high	摩月去计划,
961	复计划	复极化	high	是摩在复计划,
963	复计划	复极化	high	从17开始复计划,
969	复计划	复极化	high	摩电为越复计划,
983	复计划	复极化	high	外流复计划呗,
990	复计划	复极化	high	三期复计划的后半程,
991	复计划	复极化	high	是越复计划,
992	复计划	复极化	high	就越复计划,
999	复计划	复极化	high	赶快复计划进行,
1030	复旗话	复极化	medium	73期的复旗话后半程,
1034	超长期	超常期	high	叫超长期,
1048	复旗话	复极化	medium	越复旗话,
1050	复旗话	复极化	medium	越复旗话就越快,
1055	复旗话	复极化	medium	开始到三期复旗话,
1060	复旗话	复极化	medium	三期复旗话,
1065	复旗话	复极化	medium	三期的复旗话,
1068	复旗话	复极化	medium	关了我怎么复旗话了?
1123	复计划	复极化	high	三期复计划,
