行号	疑似误识	建议术语	原句
63	机细胞	壁细胞	先听一下,但是在细胞这章第四节谈机细胞收缩的时候,咱们一般是以骨骼机细胞为例,往下学习的。
63	机细胞	壁细胞	先听一下,但是在细胞这章第四节谈机细胞收缩的时候,咱们一般是以骨骼机细胞为例,往下学习的。
64	机细胞	壁细胞	但是你注意,在这一节,你会稍待一下心机细胞。
72	机细胞	壁细胞	所以这一节主要介绍骨骼机细胞的时候说了。
78	机细胞	壁细胞	肌肉要想随意,首先需要神经系统,运动神经二和运动神经元,周图,和骨骼机细胞之间进行一次跨膜的信号转导。
132	烂氨酸基酶受体	酪氨酸激酶受体	烂氨酸基酶受体和尿肝酸化化酶受体。
440	着细胞	主细胞	充满着细胞外液
833	集细胞	壁细胞	怎么样传到五合集细胞膜上去
1032	基细胞	壁细胞	骨骼基细胞教材给你解释
1033	基细胞	壁细胞	中板膜是骨骼基细胞膜一个特殊的部分
1034	基细胞	壁细胞	那么骨骼基细胞膜进行叠位
1040	基细胞	壁细胞	骨骼基细胞负90
1214	机细胞	壁细胞	正常机细胞膜上
1215	机细胞	壁细胞	机细胞膜进行点位-90
1223	机细胞	壁细胞	动作点位是机细胞膜的事
1398	伏刺激	阈刺激	按道理说20毫伏刺激足够了
1398	刺激足	雌激素	按道理说20毫伏刺激足够了
1551	急松剂	激动剂	这叫急松剂
1664	肌肉无	肌肉素	肌肉无力
1835	鸡细胞	壁细胞	骨骼鸡细胞怎么收缩的
1844	鸡细胞	壁细胞	一个骨骼鸡细胞内部
1857	粗基丝	促激素	是粗基丝和细基丝
1858	鸡细胞	壁细胞	每个鸡细胞内部
1862	粗基丝	促激素	都是粗基丝和细基丝构成的
1863	粗基丝	促激素	这个视野图的粗基丝
1874	粗基丝	促激素	那么粗基丝细基丝
1897	粗基丝	促激素	要一个牙刷是粗基丝
1924	粗基丝	促激素	那么粗基丝
1939	粗基丝	促激素	因为这个地方长的是粗基丝
1946	粗基丝	促激素	这个粗基丝
1948	粗基丝	促激素	M线这个附近的粗基丝
1953	粗基丝	促激素	和粗基丝的太近
1961	粗基丝	促激素	粗基丝所在部位
1984	颗基细胞	颗粒细胞	基小节是五颗基细胞
1984	基细胞	壁细胞	基小节是五颗基细胞
2013	粗基斯	促激素	就这个粗基斯
2017	粗基斯	促激素	只是细基斯和粗基斯
2019	粗基斯	促激素	把细基斯插到粗基斯之间去
2042	粗基斯	促激素	粗基斯也这么长
2314	基细胞	壁细胞	不光是五个基细胞
2347	基细胞	壁细胞	骨骼基细胞中
2355	基细胞	壁细胞	骨骼基细胞
2366	基细胞	壁细胞	实际上平滑基细胞
2370	基细胞	壁细胞	把平滑基细胞叫什么
2375	基细胞	壁细胞	平滑基细胞
2378	基细胞	壁细胞	骨骼基细胞
2475	基细胞	壁细胞	在骨骼基细胞上
2478	基细胞	壁细胞	骨骼基三种基细胞
2480	基细胞	壁细胞	在骨骼基细胞这
2600	录细胞	粒细胞	记录细胞内部呀
2729	基细胞	壁细胞	基细胞是两套结构构成的
2734	基细胞	壁细胞	横管就是基细胞膜
2735	基细胞	壁细胞	基细胞膜在那拐了个弯
2753	基细胞	壁细胞	就是基细胞膜里边反折了一下
2759	基细胞	壁细胞	谷歌基细胞内部的那套机制网
2775	粗基丝	促激素	粗基丝就基础蛋白
2793	粗基丝	促激素	粗基丝叫基凝蛋白
2808	粗基丝	促激素	粗基丝是一个分子结构
2815	肌肉具	肌肉素	那么肌肉具体怎么收缩的
2824	粗基丝	促激素	粗基丝的横桥呀
2826	粗基丝	促激素	向粗基丝的M线
2875	粗基丝	促激素	粗基丝就这么长
2883	粗基丝	促激素	向着粗基丝之间
2901	粗基丝	促激素	什么叫粗基丝
2903	粗基丝	促激素	粗基丝就是一个
2955	粗基丝	促激素	每条粗基丝上
2961	粗基丝	促激素	这一条粗基丝上
2967	粗基丝	促激素	一条粗基丝落位
3032	械蛋白	铁蛋白	也叫机械蛋白
3034	械蛋白	铁蛋白	机械蛋白去
3038	械蛋白	铁蛋白	机械蛋白就说
3057	械蛋白	铁蛋白	也机械蛋白
3089	基钉蛋白	肌动蛋白	约基钉蛋白
3212	粗机丝	促激素	这是粗机丝
3217	械蛋白	铁蛋白	机械蛋白
3259	械蛋白	铁蛋白	双螺旋的机械蛋白之间
3439	械蛋白	铁蛋白	机械蛋白
3443	械蛋白	铁蛋白	是七个机械蛋白
3451	械蛋白	铁蛋白	机械蛋白
3551	基细胞	壁细胞	恒文基细胞的电活动
3654	皮层支	皮层柱	大腿皮层支配呼吸机
3659	来呼吸	外呼吸	想不起来呼吸了
3696	呼气膜	呼吸膜	一个呼气膜肺泡内镇压
4158	脂细胞	主细胞	就是心脂细胞盖的释放原因
4159	脂细胞	主细胞	心脂细胞怎么欧连的
