行号	误识	纠正为	置信度	原句
15	内生基肝	内生肌酐	high	人体内部因为人一直不断地在进行形成代谢,这样不断地需要摄入一些营养物质,摄入氧气,排出二氧化碳,乳酸,包括其他一些你想,机体组织细胞代谢微产物,一些尿素蛋呀,一些内生基肝呀,等等很多东西。
55	减重度	碱中毒	high	所以肺脏如果呼吸的太多,我们叫呼吸性减重度,如果呼吸器太少,叫呼吸性酸重度。
55	酸重度	酸中毒	high	所以肺脏如果呼吸的太多,我们叫呼吸性减重度,如果呼吸器太少,叫呼吸性酸重度。
92	醋红细胞生成素	促红细胞生成素	high	醋红细胞生成素。
97	全股同	醛固酮	high	肾素聚化胀素,全股同系统。
196	进去小管	近曲小管	high	水泡是吧,进去小管,角质细段,肾质细段,肾质粗段。
206	电压潜	电压钳	high	这样一些细胞灌了之后,你要做一个电压潜质技术。
207	精细电位	静息电位	high	就咱们教材上学这个动作电位,精细电位,RK1是吧,RK,RK2,RKS,包括IPO这些电流,包括哪个交换电流,这种都在实验中要测。
312	远去小管	远曲小管	high	远去小管,
313	远去小管	远曲小管	high	远去小管其实,远去小管后半段,
313	远去小管	远曲小管	high	远去小管其实,远去小管后半段,
368	近区小管	近曲小管	high	叫近区小管,
388	远区小管	远曲小管	high	包括远区小管,
391	远区小管	远曲小管	high	远区小管,
395	远区小管	远曲小管	high	远区小管,
459	远区小管	远曲小管	high	从远区小管这个部位,
618	直销血管	直小血管	high	叫U字型的直销血管,
633	球旁气	球旁器	high	叫球旁气,
637	球旁气	球旁器	high	球旁气少,
641	球旁气	球旁器	high	有球旁气,
644	球旁气	球旁器	high	进隧审内部长个球旁气也没啥用,
645	球旁气	球旁器	high	皮质审内部长球旁气才有用,
745	球旁气	球旁器	high	也叫球旁气,
747	直米斑	致密斑	high	第一个叫直米斑,
755	直米斑	致密斑	high	直米斑在哪里啊,
757	直米斑	致密斑	high	直米斑实际上是长在远趋效果期时,
924	球旁气	球旁器	high	球旁气,
978	球旁气	球旁器	high	球旁气,
989	球旁气	球旁器	high	球旁气,
1040	余晖通路	迂回通路	high	第二个是微循环余晖通路,
1042	余晖通路	迂回通路	high	余晖通路自身调节,
1086	每分工	每分功	high	两个肾脏每分工1200毫升,
1107	每分工	每分功	high	我们的心率每分工75次,
1198	直效血管	直小血管	high	优质性的直效血管,
