行号	误识	纠正为	置信度	原句
13	摩电位	膜电位	high	兴师基细胞的这个这么一个标本啊,这么一个细胞来记录,RK1内向这种假通道,在不同摩电位情况下开放成都的这么一个实验记录图,这个图我们就称之为RK1的RIV电流电压关系曲线,我们叫RIV曲线,这个图在生理学,特别在电视力学的特别特殊,但是对我们理解更深层次的一些性别活动的发生与极其重要,
15	摩点位	膜电位	high	所以到了药理学,诊断学,病生学,内科学,外科学,这个生理学都没学过一样,为什么感慨和受到用试方很少,这再听一下,这个曲线叫什么,叫RK1的RIV曲线,RIV曲线,很明确,你先看,非常好玩的一个地方,这个箭头所指的呀,你把它大概目测一下,是在摩点位-90毫伏这个位置,你还记得,新式机器宝的进气点位是-90毫伏,在这个时候,摩上是没有假外流的,
16	平衡点位	平衡电位	high	为什么呀,你还记得西方那一张,假粒子的平衡点位,进气点位,这个情况下,正好对假粒子来说,这个-90毫伏的电场力,阻碍了假粒子浓度差的动力,达到平衡状态,但是当然你要细致点的话,你在西方那张学过,说假粒子平衡点位理论上应该是多少,是-95毫伏,-90这么的平衡呢,说明新式机器宝,不但有RK1,还有一些纳豆通道,
16	平衡点位	平衡电位	high	为什么呀,你还记得西方那一张,假粒子的平衡点位,进气点位,这个情况下,正好对假粒子来说,这个-90毫伏的电场力,阻碍了假粒子浓度差的动力,达到平衡状态,但是当然你要细致点的话,你在西方那张学过,说假粒子平衡点位理论上应该是多少,是-95毫伏,-90这么的平衡呢,说明新式机器宝,不但有RK1,还有一些纳豆通道,
20	摩点位	膜电位	high	所以这个地方,-90毫伏摩点位的时候,
45	伏计划	复极化	high	说在摩伏计划的过程中,
62	酸重度	酸中毒	high	叫高钾高氯酸重度,
63	碱重度	碱中毒	high	低钾低氯碱重度,
205	曲级化	去极化	high	但是伴随着摩尔一曲级化,
208	曲级化	去极化	high	让摩尔曲级化了,
213	曲级化	去极化	high	但是摩尔一曲级化,
229	曲级化	去极化	high	现在在曲级化的过程中,
