行号	误识	纠正为	置信度	原句
7	生理寻	生理学	medium	所以同一个物质在不同的细胞膜部位,在不同的细胞膜类型上,它的狂魔转运是不一样的,这和生理寻求有关系,慢慢你就越来越发现,结构是功能的基础。
204	欲刺激	阈刺激	high	或食欲刺激,
329	渗透牙	渗透压	high	基本上相当于渗透牙边,
366	接头前模	接头前膜	high	接头前模这儿,
377	中板模	终板膜	high	会让将来会让中板模,
378	接头后模	接头后膜	high	接头后模,
427	巨石细胞	巨噬细胞	high	巨石细胞,
788	液像入包	液相入胞	high	另外还有所谓的液像入包,
854	液态相嵌模型	液态镶嵌模型	high	液态相嵌模型,
1333	神经线维	神经纤维	high	是有一些神经线维膜烧,
1337	神经抵制	神经递质	high	交感神经独有的神经抵制,
1387	基地神经节	基底神经节	high	是我们大脑里边基地神经节制,
1396	基地神经节	基底神经节	high	基地神经节325页有点早吧,
1403	基地神经节	基底神经节	high	基地神经节,
1419	基地神经节	基底神经节	high	在基地神经节的直接通路上,
1426	基地神经节	基底神经节	high	它所反馈的基地神经节功能,
1461	跨模信号转导	跨膜信号转导	high	细胞间的跨模信号转导
1660	信号转到	信号转导	high	信号转到
1716	胶感神经	交感神经	high	苏斯兰特他第一次研究胶感神经兴奋
1717	胶感神经	交感神经	high	让肝脏细胞肝膛约分解的过程中发现胶感神经兴奋是往去亚生和相关的肝脏细胞膜上被它们结合以后呀
1831	脚感神经	交感神经	high	脚感神经释放去钾胜
1833	二查分案	儿茶酚胺	high	去钾胜是经典的一个二查分案
1851	脚感神经	交感神经	high	我们又拿脚感神经释去
1863	脚感神经	交感神经	high	秉承着一开始脚感神经
1865	脚感神经	交感神经	high	脚感神经释放去钾
